////////////////////////////////////////////////////////////////////
SOLUTION = sprint01;
////////////////////////////////////////////////////////////////////
Aline, 144;

////////////////////////////////////////////////////////////////////
ASSIGNMENTS = 152;
////////////////////////////////////////////////////////////////////
ASSIGNMENTS = 152;
2010-01-01, 1, D;
2010-01-01, 2, E;
2010-01-01, 3, E;
2010-01-01, 6, N;
2010-01-01, 8, L;
2010-01-01, 9, L;
2010-01-02, 1, N;
2010-01-02, 3, D;
2010-01-02, 6, L;
2010-01-02, 8, E;
2010-01-03, 1, N;
2010-01-03, 3, D;
2010-01-03, 7, L;
2010-01-03, 8, E;
2010-01-04, 1, L;
2010-01-04, 3, D;
2010-01-04, 4, N;
2010-01-04, 5, E;
2010-01-04, 7, E;
2010-01-04, 8, L;
2010-01-05, 1, L;
2010-01-05, 2, N;
2010-01-05, 4, E;
2010-01-05, 5, E;
2010-01-05, 6, L;
2010-01-05, 9, D;
2010-01-06, 0, E;
2010-01-06, 2, N;
2010-01-06, 3, D;
2010-01-06, 5, E;
2010-01-06, 7, L;
2010-01-06, 9, L;
2010-01-07, 0, N;
2010-01-07, 3, D;
2010-01-07, 5, E;
2010-01-07, 7, L;
2010-01-07, 8, E;
2010-01-07, 9, L;
2010-01-08, 3, E;
2010-01-08, 4, N;
2010-01-08, 5, L;
2010-01-08, 6, D;
2010-01-08, 7, L;
2010-01-08, 9, E;
2010-01-09, 4, E;
2010-01-09, 5, L;
2010-01-09, 6, N;
2010-01-09, 9, D;
2010-01-10, 2, D;
2010-01-10, 5, L;
2010-01-10, 6, E;
2010-01-10, 9, N;
2010-01-11, 2, L;
2010-01-11, 3, E;
2010-01-11, 5, E;
2010-01-11, 7, N;
2010-01-11, 8, L;
2010-01-11, 9, D;
2010-01-12, 1, N;
2010-01-12, 3, D;
2010-01-12, 4, L;
2010-01-12, 7, L;
2010-01-12, 8, E;
2010-01-12, 9, E;
2010-01-13, 0, E;
2010-01-13, 2, N;
2010-01-13, 4, L;
2010-01-13, 7, D;
2010-01-13, 8, E;
2010-01-13, 9, L;
2010-01-14, 0, N;
2010-01-14, 1, L;
2010-01-14, 2, E;
2010-01-14, 3, D;
2010-01-14, 5, E;
2010-01-14, 6, L;
2010-01-15, 1, E;
2010-01-15, 2, L;
2010-01-15, 3, D;
2010-01-15, 5, N;
2010-01-15, 6, E;
2010-01-15, 7, L;
2010-01-16, 1, D;
2010-01-16, 2, N;
2010-01-16, 6, L;
2010-01-16, 8, E;
2010-01-17, 0, N;
2010-01-17, 2, D;
2010-01-17, 5, E;
2010-01-17, 8, L;
2010-01-18, 0, D;
2010-01-18, 1, E;
2010-01-18, 2, E;
2010-01-18, 5, L;
2010-01-18, 7, N;
2010-01-18, 8, L;
2010-01-19, 1, N;
2010-01-19, 2, L;
2010-01-19, 4, L;
2010-01-19, 5, D;
2010-01-19, 7, E;
2010-01-19, 8, E;
2010-01-20, 1, N;
2010-01-20, 4, L;
2010-01-20, 5, D;
2010-01-20, 6, E;
2010-01-20, 8, L;
2010-01-20, 9, E;
2010-01-21, 1, N;
2010-01-21, 2, D;
2010-01-21, 4, E;
2010-01-21, 6, L;
2010-01-21, 7, E;
2010-01-21, 9, L;
2010-01-22, 1, D;
2010-01-22, 2, N;
2010-01-22, 3, E;
2010-01-22, 4, E;
2010-01-22, 6, L;
2010-01-22, 7, L;
2010-01-23, 1, E;
2010-01-23, 3, L;
2010-01-23, 4, D;
2010-01-23, 7, N;
2010-01-24, 0, D;
2010-01-24, 1, E;
2010-01-24, 5, L;
2010-01-24, 7, N;
2010-01-25, 0, N;
2010-01-25, 2, D;
2010-01-25, 4, E;
2010-01-25, 6, L;
2010-01-25, 8, E;
2010-01-25, 9, L;
2010-01-26, 2, E;
2010-01-26, 3, D;
2010-01-26, 4, N;
2010-01-26, 5, E;
2010-01-26, 6, L;
2010-01-26, 8, L;
2010-01-27, 1, L;
2010-01-27, 2, E;
2010-01-27, 3, N;
2010-01-27, 4, E;
2010-01-27, 5, D;
2010-01-27, 8, L;
2010-01-28, 0, N;
2010-01-28, 1, L;
2010-01-28, 3, E;
2010-01-28, 4, L;
2010-01-28, 5, D;
2010-01-28, 8, E;
